"","cw_name","cw_source_name","purpose_use","watershed_area","og_watershed_area","prot_og_watershed_area","og_percentage","prot_percentage","at_risk_area","perc_at_risk","sum_quantity","n_license","units"
"1","Affleck Community Watershed","Affleck Creek","00A - Waterworks: Local Provider ",372.692890637467,31.2330969559073,20,8.38,5.37,11.2330969559073,3.01,414830.7125,1,"m3/year"
"2","Affleck Community Watershed","Affleck Creek","03A - Irrigation: Local Provider ",372.692890637467,31.2330969559073,20,8.38,5.37,11.2330969559073,3.01,493392,1,"m3/year"
"3","Bartlett Community Watershed","Bartlett Creek","01A - Domestic ",540.813742512496,80.193904759702,69.3502241057966,14.83,12.82,10.8436806539054,2.01,2.27305,1,"m3/year"
"4","Bell Community Watershed","Bell Creek","00A - Waterworks: Local Provider ",344.493481193783,86.5880751897188,45.6008334564932,25.13,13.24,40.9872417332256,11.9,49779.6855,1,"m3/year"
"5","Brouse Community Watershed","Brouse Creek","00A - Waterworks: Local Provider ",310.716674881223,64.6349362671709,23,20.8,7.4,41.6349362671709,13.4,298695.414,2,"m3/year"
"6","Canyon Community Watershed","Canyon Creek","WSA01 - Domestic (WSA01) ",NA,NA,NA,NA,NA,NA,NA,2,1,"m3/year"
"7","Chute Community Watershed","Chute Creek","00A - Waterworks: Local Provider ",1888.80245775584,115.302133742316,65.0338957603247,6.1,3.44,50.268237981991,2.66,165932.285,1,"m3/year"
"8","Chute Community Watershed","Chute Creek","03A - Irrigation: Local Provider ",1888.80245775584,115.302133742316,65.0338957603247,6.1,3.44,50.268237981991,2.66,3700440,1,"m3/year"
"9","Clinton Community Watershed","Clinton Creek","00A - Waterworks: Local Provider ",6629.96207470153,1195.82077168289,592.070926393308,18.04,8.93,603.749845289582,9.11,562510.44615,3,"m3/year"
"10","Dickey Community Watershed","Dickey Creek","00A - Waterworks: Local Provider ",1485.12185541862,134.969976371377,51.7347372932375,9.09,3.48,83.23523907814,5.6,331864.57,1,"m3/year"
"11","Dickey Community Watershed","Dickey Creek","03B - Irrigation: Private ",1485.12185541862,134.969976371377,51.7347372932375,9.09,3.48,83.23523907814,5.6,70962.1044,1,"m3/year"
"12","Dominion Community Watershed","Dominion Creek","00A - Waterworks: Local Provider ",1005.71784839965,101.088327608867,0,10.05,0,101.088327608867,10.05,90921.8,1,"m3/year"
"13","Duteau Community Watershed","Duteau Creek","02I31 - Livestock & Animal: Stockwatering ",21275.3642431632,1879.68534859859,815.522823222366,8.84,3.83,1064.16252537623,5,4.54609,1,"m3/year"
"14","Gossen Community Watershed","Skovsen Brook","01A - Domestic ",89.9123218437553,26.4364215636626,0,29.4,0,26.4364215636626,29.4,2.27305,1,"m3/year"
"15","Heart Community Watershed","Heart Creek","01A - Domestic ",2627.96889031192,198.360887773097,73.2957192783054,7.55,2.79,125.065168494791,4.76,11.36523,2,"m3/year"
"16","Heart Community Watershed","Heart Creek","02I31 - Livestock & Animal: Stockwatering ",2627.96889031192,198.360887773097,73.2957192783054,7.55,2.79,125.065168494791,4.76,2.27305,1,"m3/year"
"17","Heart Community Watershed","Heart Creek","03B - Irrigation: Private ",2627.96889031192,198.360887773097,73.2957192783054,7.55,2.79,125.065168494791,4.76,11101.32,2,"m3/year"
"18","Hydraulic Community Watershed","Hydraulic Creek","03A - Irrigation: Local Provider ",9379.24778342073,758.914685922339,183.13914168931,8.09,1.95,575.775544233029,6.14,616740,1,"m3/year"
"19","Indian Community Watershed","Indian Creek","00A - Waterworks: Local Provider ",482.737779606305,36.3834377278037,13.0426365852699,7.54,2.7,23.3408011425339,4.84,393236.785,3,"m3/year"
"20","Intlpam Community Watershed","Intlpam Creek","03B - Irrigation: Private ",5698.4271130809,608.229591772836,251.260118593518,10.67,4.41,356.969473179318,6.26,493392,1,"m3/year"
"21","Lambly Community Watershed","Lambly Creek","00A - Waterworks: Local Provider ",22411.9437476135,2146.57115256384,228.581755084021,9.58,1.02,1917.98939747982,8.56,617068.07224,1,"m3/year"
"22","Mckelvie Community Watershed","McKelvie Creek","00A - Waterworks: Local Provider ",NA,NA,NA,NA,NA,NA,NA,165932.285,1,"m3/year"
"23","Mcneill Lake Community Watershed","Haslam Creek","00A - Waterworks: Local Provider ",1528.79638302507,76.485097037673,40.9100108446766,5,2.68,35.5750861929964,2.33,331864.57,1,"m3/year"
"24","Murray Community Watershed","Murray Creek","03B - Irrigation: Private ",NA,NA,NA,NA,NA,NA,NA,130995.576,2,"m3/year"
"25","Naramata Community Watershed","Naramata Creek","00A - Waterworks: Local Provider ",3386.62412124995,501.770270662874,229.911850955374,14.82,6.79,271.8584197075,8.03,182525.5135,2,"m3/year"
"26","Naramata Community Watershed","Naramata Creek","03A - Irrigation: Local Provider ",3386.62412124995,501.770270662874,229.911850955374,14.82,6.79,271.8584197075,8.03,3700440,1,"m3/year"
"27","Nekliptum Creek (North Channel)","Nekliptum Creek (N. Channel)","01A - Domestic ",253.624211750129,68.2356728544251,68.2356728544251,26.9,26.9,0,0,4.54609,1,"m3/year"
"28","Nekliptum Creek (North Channel)","Nekliptum Creek (N. Channel)","03B - Irrigation: Private ",253.624211750129,68.2356728544251,68.2356728544251,26.9,26.9,0,0,78227.3016,2,"m3/year"
"29","Nepuchin Community Watershed","Nepuchin Creek","03B - Irrigation: Private ",738.427559393815,26.6762248430224,26.6762248430224,3.61,3.61,0,0,379295.1,2,"m3/year"
"30","Newcastle Community Watershed","Newcastle Creek","00A - Waterworks: Local Provider ",911.729926481236,363.512783349103,138.032025200603,39.87,15.14,225.4807581485,24.73,844595,1,"m3/year"
"31","Number One Community Watershed","Number One Creek","00A - Waterworks: Local Provider ",33.2142951242906,26.0799412537312,0,78.52,0,26.0799412537312,78.52,186389.69,2,"m3/year"
"32","Penticton Community Watershed","Penticton Creek","03B - Irrigation: Private ",17391.4804420238,1674.7395575692,461.129022513786,9.63,2.65,1213.61053505542,6.98,20562.1116,1,"m3/year"
"33","Powers Community Watershed","Powers Creek","00A - Waterworks: Local Provider ",13596.2643269711,1435.51516003587,220.932358719967,10.56,1.62,1214.5828013159,8.93,829661.425,1,"m3/year"
"34","Powers Community Watershed","Powers Creek","03A - Irrigation: Local Provider ",13596.2643269711,1435.51516003587,220.932358719967,10.56,1.62,1214.5828013159,8.93,1757709,1,"m3/year"
"35","Procter Community Watershed","Procter Creek","01A - Domestic ",825.16458024988,109.61623519028,89.1083028277159,13.28,10.8,20.5079323625637,2.49,6.81914,2,"m3/year"
"36","Procter Community Watershed","Procter Creek","03B - Irrigation: Private ",825.16458024988,109.61623519028,89.1083028277159,13.28,10.8,20.5079323625637,2.49,27753.3,3,"m3/year"
"37","Queen Charlotte City Community Watershed","Jervis Brook","01A - Domestic ",1632.89285960789,876.653333747188,0,53.69,0,876.653333747188,53.69,6.81914,2,"m3/year"
"38","Sitkum Community Watershed","Sitkum Creek","01A - Domestic ",2702.79052644323,62.3028899968982,0,2.31,0,62.3028899968982,2.31,2.27305,1,"m3/year"
"39","Sitkum Community Watershed","Sitkum Creek","03B - Irrigation: Private ",2702.79052644323,62.3028899968982,0,2.31,0,62.3028899968982,2.31,10792.95,1,"m3/year"
"40","South Murphy Community Watershed","South Murphy Creek","00A - Waterworks: Local Provider ",278.972627343821,97.172161134152,68.1295967162053,34.83,24.42,29.0425644179467,10.41,165932.285,1,"m3/year"
"41","Stawamus Community Watershed",NA,"00A - Waterworks: Local Provider ",4014.82457328077,982.444615115896,371.814269329375,24.47,9.26,610.630345786521,15.21,4148307.125,1,"m3/year"
"42","Topping Community Watershed","Topping Creek-FR","00A - Waterworks: Local Provider ",2098.7923796314,93.4956214404488,23.4956214404489,4.45,1.12,69.9999999999999,3.34,165932.285,1,"m3/year"
"43","Trout Community Watershed","Trout Creek","02I31 - Livestock & Animal: Stockwatering ",71616.0892430867,6037.06168043589,1438.12641564973,8.43,2.01,4598.93526478616,6.42,13.63827,2,"m3/year"
